"","Gebruiksdoel","Type","Hoofdadres","ID","Oppervlakte","MaaktDeelUitVan","x_coordinate","y_coordinate"
"153","woonfunctie","Verblijfsobject","0363200000473688","0363010000987595",92,"0363100012086724",125005,487195
"154","woonfunctie","Verblijfsobject","0363200000474038","0363010000988885",112,"0363100012126265",124877,487407
"155","woonfunctie","Verblijfsobject","0363200000474039","0363010000988888",112,"0363100012126265",124873,487407
"156","woonfunctie","Verblijfsobject","0363200000474040","0363010000988889",125,"0363100012126265",124869,487405
"157","woonfunctie","Verblijfsobject","0363200000474041","0363010000988891",125,"0363100012126265",124865,487405
"158","woonfunctie","Verblijfsobject","0363200000474042","0363010000988892",112,"0363100012126265",124861,487405
"159","woonfunctie","Verblijfsobject","0363200000474043","0363010000988893",112,"0363100012126265",124856,487403
"160","woonfunctie","Verblijfsobject","0363200000474728","0363010000989592",150,"0363100012115843",125075,487169
"161","woonfunctie","Verblijfsobject","0363200000474729","0363010000989593",150,"0363100012112700",125079,487170
"162","woonfunctie","Verblijfsobject","0363200000473560","0363010000991232",96,"0363100012086724",124964,487211
"163","woonfunctie","Verblijfsobject","0363200000473561","0363010000991233",96,"0363100012086724",124964,487211
"164","woonfunctie","Verblijfsobject","0363200000473562","0363010000991234",96,"0363100012086724",124964,487211
"165","woonfunctie","Verblijfsobject","0363200000473668","0363010000991257",96,"0363100012086724",125005,487195
"166","woonfunctie","Verblijfsobject","0363200000473682","0363010000991266",96,"0363100012086724",125005,487195
"167","woonfunctie","Verblijfsobject","0363200000474073","0363010000993120",95,"0363100012126265",124885,487387
"168","woonfunctie","Verblijfsobject","0363200000474083","0363010000993130",95,"0363100012126265",124844,487380
"169","woonfunctie","Verblijfsobject","0363200000474084","0363010000993131",95,"0363100012126265",124840,487379
"170","woonfunctie","Verblijfsobject","0363200000474085","0363010000993132",95,"0363100012126265",124836,487378
"171","woonfunctie","Verblijfsobject","0363200000474086","0363010000993133",95,"0363100012126265",124832,487378
"172","woonfunctie","Verblijfsobject","0363200000474087","0363010000993134",95,"0363100012126265",124828,487377
"173","woonfunctie","Verblijfsobject","0363200000474088","0363010000993135",95,"0363100012126265",124823,487375
"174","woonfunctie","Verblijfsobject","0363200000474089","0363010000993137",95,"0363100012126265",124819,487375
"175","woonfunctie","Verblijfsobject","0363200000474090","0363010000993138",95,"0363100012126265",124815,487375
"176","woonfunctie","Verblijfsobject","0363200000474091","0363010000993139",95,"0363100012126265",124811,487374
"177","woonfunctie","Verblijfsobject","0363200000475444","0363010000994917",48,"0363100012098458",125043,487369
"178","woonfunctie","Verblijfsobject","0363200000475445","0363010000994918",61,"0363100012098458",125038,487368
"179","woonfunctie","Verblijfsobject","0363200000475446","0363010000994919",73,"0363100012098458",125033,487367
"180","woonfunctie","Verblijfsobject","0363200000478439","0363010000996722",87,"0363100012084673",124684,487186
"181","woonfunctie","Verblijfsobject","0363200000478440","0363010000996723",87,"0363100012067437",124687,487186
"182","woonfunctie","Verblijfsobject","0363200000478441","0363010000996724",87,"0363100012107737",124692,487186
"183","woonfunctie","Verblijfsobject","0363200000478442","0363010000996725",87,"0363100012148148",124696,487188
"184","woonfunctie","Verblijfsobject","0363200000478329","0363010000996739",91,"0363100012074704",124688,487175
"185","woonfunctie","Verblijfsobject","0363200000478330","0363010000996740",90,"0363100012075526",124694,487171
"186","kantoorfunctie","Verblijfsobject","0363200000480311","0363010000997156",230,"0363100012103406",124921,487512
"187","woonfunctie","Verblijfsobject","0363200000481138","0363010000997265",72,"0363100012076936",124677,487367
"188","woonfunctie","Verblijfsobject","0363200000481139","0363010000997266",57,"0363100012076936",124677,487367
"189","woonfunctie","Verblijfsobject","0363200000481146","0363010000997298",72,"0363100012076936",124677,487367
"190","overige gebruiksfunctie","Verblijfsobject","0363200012110065","0363010012108384",3078,"0363100012247455",124871.303,487482.076
"191","woonfunctie","Verblijfsobject","0363200012110005","0363010012108324",78,"0363100012247452",124881.614,487509.875
"192","woonfunctie","Verblijfsobject","0363200012110045","0363010012108364",55,"0363100012247452",124884.816,487532.852
"193","woonfunctie","Verblijfsobject","0363200012109953","0363010012108272",73,"0363100012247452",124875.069,487528.876
